,year_released,reporting_year,race,sex,age_at_release,conviction_class,convicting_type,conviction_subtype,release_type,supervising_district,recidivism,recidivism_type,days_to_recidivism,new_conviction_class,new_conviction_type,new_conviction_subtype,target_poulation,sort_number,initial_supervision_status,recidivism_supervision_status
45,2014,2017,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,,,No,,,,,,No,,,
46,2014,2017,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,,,No,,,,,,No,,,
47,2014,2017,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,,,No,,,,,,No,,,
48,2014,2017,White - Hispanic,,35-44,C Felony,Violent,Sex,,,No,,,,,,No,,,
49,2010,2013,Black - Non-Hispanic,,25-34,C Felony,Violent,Robbery,Parole,7JD,Yes,Parole,433.0,C Felony,Drug,Trafficking,Yes,,,
50,2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,453.0,,,,No,,,
51,2010,2013,White - Non-Hispanic,,35-44,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,832.0,,,,Yes,,,
52,2010,2013,White - Non-Hispanic,,25-34,B Felony,Other,Other Criminal,Parole,6JD,No,Parole,,,,,Yes,,,
53,2010,2013,Black - Non-Hispanic,,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,116.0,,,,No,,,
54,2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,Parole,,,,,Yes,,,
55,2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,4JD,No,Parole,,,,,Yes,,,
56,2010,2013,Black - Non-Hispanic,,35-44,D Felony,Public Order,OWI,Parole,6JD,Yes,Parole,84.0,,,,Yes,,,
57,2010,2013,White - Non-Hispanic,,25-34,Felony - Enhanced,Property,Forgery/Fraud,Parole,7JD,No,Parole,,,,,Yes,,,
58,2010,2013,Black - Non-Hispanic,,25-34,C Felony,Violent,Other Violent,Parole,1JD,Yes,Parole,274.0,,,,Yes,,,
59,2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,Parole,165.0,D Felony,Drug,Other Drug,Yes,,,
60,2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,Parole,249.0,,,,Yes,,,
61,2010,2013,Black - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Parole,8JD,Yes,Parole,1001.0,Aggravated Misdemeanor,Public Order,Traffic,Yes,,,
62,2010,2013,White - Non-Hispanic,,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
63,2010,2013,White - Non-Hispanic,,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
64,2010,2013,Black - Non-Hispanic,,Under 25,C Felony,Property,Burglary,Parole,1JD,No,Parole,,,,,Yes,,,
65,2010,2013,White - Non-Hispanic,,Under 25,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,763.0,Serious Misdemeanor,Violent,Assault,No,,,
66,2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Theft,Parole,7JD,Yes,Parole,598.0,,,,Yes,,,
67,2010,2013,Black - Non-Hispanic,,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
68,2010,2013,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
69,2010,2013,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
70,2010,2013,White - Non-Hispanic,,35-44,D Felony,Violent,Assault,Parole,6JD,No,Parole,,,,,Yes,,,
71,2010,2013,White - Non-Hispanic,,35-44,D Felony,Violent,Assault,Parole,6JD,No,Parole,,,,,Yes,,,
72,2010,2013,Black - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
73,2010,2013,Black - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
74,2010,2013,Black - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
75,2010,2013,Black - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
76,2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Parole,6JD,Yes,Parole,399.0,D Felony,Drug,Trafficking,Yes,,,
77,2010,2013,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,1JD,No,Parole,,,,,Yes,,,
78,2010,2013,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Property,Theft,Parole,2JD,No,Parole,,,,,Yes,,,
79,2010,2013,American Indian or Alaska Native - Non-Hispanic,,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Parole,,,,,Yes,,,
80,2010,2013,White - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,497.0,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,,,
81,2010,2013,White - Non-Hispanic,,25-34,Felony - Enhanced,Property,Theft,Parole,8JD,Yes,Parole,147.0,,,,Yes,,,
82,2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Theft,Parole,5JD,Yes,Parole,263.0,Serious Misdemeanor,Public Order,Flight/Escape,Yes,,,
83,2010,2013,White - Hispanic,,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
84,2010,2013,White - Hispanic,,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
85,2010,2013,White - Hispanic,,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
86,2010,2013,White - Hispanic,,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
87,2010,2013,White - Hispanic,,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
88,2010,2013,White - Hispanic,,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
89,2010,2013,White - Hispanic,,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
90,2010,2013,White - Hispanic,,25-34,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
91,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,467.0,D Felony,Property,Burglary,No,,,
92,2010,2013,Black - Non-Hispanic,,25-34,C Felony,Property,Burglary,Parole,7JD,Yes,Parole,160.0,,,,Yes,,,
93,2010,2013,Black - Non-Hispanic,,35-44,D Felony,Property,Burglary,Parole,6JD,No,Parole,,,,,Yes,,,
94,2010,2013,White - Non-Hispanic,,55 and Older,C Felony,Property,Theft,Parole,1JD,No,Parole,,,,,Yes,,,
95,2010,2013,White - Non-Hispanic,,25-34,D Felony,Public Order,Traffic,Parole,8JD,No,Parole,,,,,Yes,,,
96,2010,2013,Black - Non-Hispanic,,55 and Older,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Parole,,,,,Yes,,,
97,2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,4JD,Yes,Parole,314.0,,,,Yes,,,
98,2010,2013,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,Parole,,,,,Yes,,,
99,2010,2013,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,2JD,No,Parole,,,,,Yes,,,
100,2010,2013,White - Hispanic,,Under 25,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
101,2010,2013,White - Non-Hispanic,,45-54,Felony - Enhanced,Drug,Trafficking,Parole,7JD,Yes,Parole,898.0,Aggravated Misdemeanor,Violent,Assault,Yes,,,
102,2010,2013,American Indian or Alaska Native - Non-Hispanic,,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
103,2010,2013,White - Non-Hispanic,,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,212.0,Serious Misdemeanor,Violent,Assault,No,,,
104,2010,2013,American Indian or Alaska Native - Non-Hispanic,,45-54,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
105,2010,2013,White - Non-Hispanic,,Under 25,C Felony,Property,Burglary,Parole,6JD,Yes,Parole,166.0,,,,Yes,,,
106,2010,2013,White - Non-Hispanic,,25-34,C Felony,Violent,Robbery,Parole,4JD,Yes,Parole,653.0,D Felony,Property,Forgery/Fraud,Yes,,,
107,2010,2013,Black - Non-Hispanic,,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Parole,,,,,Yes,,,
108,2010,2013,Black - Non-Hispanic,,25-34,Felony - Enhanced,Drug,Trafficking,Parole,1JD,No,Parole,,,,,Yes,,,
109,2010,2013,White - Non-Hispanic,,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
110,2010,2013,White - Non-Hispanic,,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
111,2010,2013,White - Non-Hispanic,,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
112,2010,2013,White - Non-Hispanic,,25-34,Felony - Enhanced,Property,Theft,Parole,2JD,Yes,Parole,582.0,Felony - Enhancement to Original Penalty,Other,Other Criminal,No,,,
113,2010,2013,American Indian or Alaska Native - Hispanic,,35-44,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
114,2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Parole,,,,,Yes,,,
115,2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Parole,,,,,Yes,,,
116,2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Parole,,,,,Yes,,,
117,2010,2013,White - Non-Hispanic,,25-34,B Felony,Other,Other Criminal,Parole,4JD,Yes,Parole,629.0,,,,Yes,,,
118,2010,2013,Black - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,1JD,Yes,Parole,796.0,Aggravated Misdemeanor,Property,Theft,Yes,,,
119,2010,2013,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,272.0,Aggravated Misdemeanor,Public Order,Traffic,No,,,
120,2010,2013,Asian or Pacific Islander - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
121,2010,2013,Black - Non-Hispanic,,55 and Older,C Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,455.0,Aggravated Misdemeanor,Violent,Assault,Yes,,,
122,2010,2013,White - Hispanic,,35-44,C Felony,Violent,Robbery,Parole,8JD,No,Parole,,,,,Yes,,,
123,2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Parole,,,,,Yes,,,
124,2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Parole,,,,,Yes,,,
125,2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Parole,,,,,Yes,,,
126,2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Parole,,,,,Yes,,,
127,2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,2JD,No,Parole,,,,,Yes,,,
128,2010,2013,White - Non-Hispanic,,55 and Older,B Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
129,2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Parole,4JD,No,Parole,,,,,Yes,,,
130,2010,2013,White - Non-Hispanic,,Under 25,C Felony,Drug,Other Drug,Parole,1JD,No,Parole,,,,,Yes,,,
131,2010,2013,Black - Non-Hispanic,,35-44,D Felony,Violent,Other Violent,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
132,2010,2013,White - Non-Hispanic,,45-54,D Felony,Public Order,Weapons,Parole,1JD,No,Parole,,,,,Yes,,,
133,2010,2013,White - Non-Hispanic,,35-44,D Felony,Violent,Assault,Parole,1JD,No,Parole,,,,,Yes,,,
134,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
135,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
136,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
137,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
138,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
139,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
140,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
141,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
142,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
143,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
144,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
145,2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Parole,8JD,No,Parole,,,,,Yes,,,
146,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Drug,Drug Possession,Parole,8JD,Yes,Parole,323.0,D Felony,Violent,Assault,Yes,,,
147,2010,2013,White - Non-Hispanic,,55 and Older,D Felony,Property,Theft,Parole,1JD,Yes,Parole,593.0,Aggravated Misdemeanor,Property,Theft,Yes,,,
148,2010,2013,White - Non-Hispanic,,25-34,D Felony,Violent,Other Violent,Parole,1JD,Yes,Parole,737.0,Aggravated Misdemeanor,Property,Theft,Yes,,,
149,2010,2013,Black - Non-Hispanic,,25-34,B Felony,Violent,Other Violent,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,846.0,,,,Yes,,,
150,2010,2013,White - Non-Hispanic,,45-54,D Felony,Property,Theft,Parole,1JD,No,Parole,,,,,Yes,,,
151,2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Parole,216.0,,,,Yes,,,
152,2010,2013,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,7JD,No,Parole,,,,,Yes,,,
153,2010,2013,White - Non-Hispanic,,45-54,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,874.0,D Felony,Public Order,Weapons,No,,,
154,2010,2013,White - Non-Hispanic,,45-54,D Felony,Property,Burglary,Parole,8JD,No,Parole,,,,,Yes,,,
155,2010,2013,Black - Non-Hispanic,,35-44,D Felony,Property,Theft,Parole,7JD,No,Parole,,,,,Yes,,,
156,2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
157,2010,2013,Asian or Pacific Islander - Non-Hispanic,,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,146.0,,,,No,,,
158,2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Parole,,,,,Yes,,,
159,2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Parole,,,,,Yes,,,
160,2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,No,Parole,,,,,Yes,,,
161,2010,2013,White - Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,449.0,,,,Yes,,,
162,2010,2013,White - Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
163,2010,2013,White - Non-Hispanic,,35-44,C Felony,Property,Theft,Parole,5JD,Yes,Parole,127.0,,,,Yes,,,
164,2010,2013,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,Parole,403.0,D Felony,Drug,Drug Possession,Yes,,,
165,2010,2013,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,1085.0,,,,Yes,,,
166,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,949.0,D Felony,Property,Theft,No,,,
167,2010,2013,White - Hispanic,,35-44,D Felony,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
168,2010,2013,Black - Non-Hispanic,,55 and Older,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
169,2010,2013,White - Non-Hispanic,,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
170,2010,2013,White - Non-Hispanic,,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
171,2010,2013,White - Non-Hispanic,,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
172,2010,2013,Black - Non-Hispanic,,45-54,Felony - Enhanced,Property,Theft,Parole,6JD,Yes,Parole,734.0,,,,Yes,,,
173,2010,2013,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Parole,,,,,Yes,,,
174,2010,2013,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Parole,,,,,Yes,,,
175,2010,2013,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,8JD,No,Parole,,,,,Yes,,,
176,2010,2013,White - Hispanic,,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
177,2010,2013,White - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Parole,6JD,No,Parole,,,,,Yes,,,
178,2010,2013,White - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Parole,6JD,No,Parole,,,,,Yes,,,
179,2010,2013,White - Hispanic,,55 and Older,C Felony,Drug,Trafficking,Parole,7JD,No,Parole,,,,,Yes,,,
180,2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Other Drug,Parole,1JD,Yes,Parole,494.0,Serious Misdemeanor,Public Order,OWI,Yes,,,
181,2010,2013,White - Non-Hispanic,,25-34,Felony - Enhanced,Violent,Assault,Parole,8JD,No,Parole,,,,,Yes,,,
182,2010,2013,White - Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,7JD,No,Parole,,,,,Yes,,,
183,2010,2013,White - Non-Hispanic,,45-54,C Felony,Violent,Robbery,Parole,8JD,Yes,Parole,46.0,,,,Yes,,,
184,2010,2013,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,7JD,Yes,Parole,541.0,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,,,
185,2010,2013,Black - Non-Hispanic,,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,324.0,D Felony,Public Order,OWI,No,,,
186,2010,2013,Black - Non-Hispanic,,Under 25,C Felony,Property,Theft,Parole,4JD,Yes,Parole,343.0,,,,Yes,,,
187,2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Vandalism,Parole,2JD,Yes,Parole,58.0,Aggravated Misdemeanor,Public Order,Alcohol,Yes,,,
188,2010,2013,White - Hispanic,,25-34,D Felony,Public Order,OWI,Parole,2JD,No,Parole,,,,,Yes,,,
189,2010,2013,White - Hispanic,,25-34,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
190,2010,2013,White - Non-Hispanic,,Under 25,D Felony,Violent,Assault,Parole,4JD,Yes,Parole,16.0,,,,Yes,,,
191,2010,2013,White - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,273.0,,,,Yes,,,
192,2010,2013,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Public Order,Flight/Escape,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
193,2010,2013,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,353.0,Aggravated Misdemeanor,Public Order,OWI,No,,,
194,2010,2013,Black - Non-Hispanic,,25-34,C Felony,Violent,Sex,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,555.0,D Felony,Drug,Trafficking,No,,,
195,2010,2013,Black - Non-Hispanic,,Under 25,D Felony,Public Order,Weapons,Parole,7JD,No,Parole,,,,,Yes,,,
196,2010,2013,Black - Non-Hispanic,,25-34,D Felony,Property,Vandalism,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,921.0,Aggravated Misdemeanor,Violent,Assault,No,,,
